gender,vitality,type,weight,jump_length
male,5,dog,3.863986738635799,32.47931978413498
male,6,cat,2.6737573078259493,25.145226947384877
female,7,dog,3.1467135835863886,24.675372039367577
male,7,dog,4.172548088378192,32.27611177441325
male,3,dog,3.767824906614583,25.421719822131255
female,3,cat,2.3063703340180344,17.432232256609392
male,3,cat,2.9373420982547844,18.97578904422726
female,4,cat,2.00884998699129,17.578431476667586
female,5,dog,3.6167070344903376,22.22673867018032
male,7,cat,2.887451025294585,31.367601246336346
female,5,cat,2.269928291731928,21.445555468361512
female,5,dog,3.3488068930427866,20.701038666779194
female,4,dog,3.568308154131338,21.477859042083892
male,10,cat,2.2968446749540643,34.7473042472484
male,7,dog,4.1553531585115,36.313617100842556
male,3,cat,2.556376283426925,21.417122728581518
male,5,cat,2.6138580385344627,29.51293506924877
male,3,cat,2.4626050601660374,30.079453996793962
male,3,dog,3.6987299713869626,30.221245130766636
male,4,cat,2.61849424231369,23.30092573839256
male,0,dog,3.7037577763012406,22.113419566659033
female,2,dog,3.4239547973847664,12.263966874874157
male,4,dog,3.7973409940036342,27.836827140126935
male,6,cat,2.4606399161072283,25.951714478545096
male,7,dog,4.010841649178586,33.01700428619911
male,4,dog,3.508171838533867,35.5429528404771
male,2,dog,4.019085248814119,24.21411419500024
male,4,cat,2.5201510175040642,25.265188140191864
male,3,dog,3.84486510336626,30.216301978106877
male,5,dog,3.8628086517538414,32.91712772690878
female,7,cat,2.2779897142507473,22.53219585227693
female,5,dog,3.7181468973215077,27.29922153998381
female,4,cat,2.027128795416629,19.55615665498567
male,4,dog,3.37585453991241,28.158625491572533
male,3,dog,3.9748787012518547,27.034627981577934
male,4,dog,4.054849597267084,27.881876150828077
female,7,cat,1.887071771419133,21.36056896565264
male,6,cat,2.858014228027918,30.778726422368198
male,5,dog,3.5525722679866343,27.027750328784062
male,6,cat,2.6951595140442706,30.667249265458608
female,1,cat,2.2670057521837257,12.171630986481976
female,4,cat,2.0529899202892015,22.707008197407834
female,6,dog,3.07278652344298,26.76782699885095
male,8,cat,2.660105107797101,37.82013176065152
male,3,dog,3.9775975972233986,32.97663074813724
male,5,cat,2.7289797542082046,25.233275487439236
female,7,cat,2.5328814128253487,24.14801368504626
female,1,cat,2.0521355294883667,17.568609723631514
female,7,cat,2.4602705734551167,23.37148933694725
male,1,cat,2.4527323374003314,16.193981907899552
male,4,cat,2.6349977443396835,27.56818519620427
female,5,dog,3.516761133162543,21.770695141340138
male,4,cat,3.105897413552556,24.83016461491129
female,10,cat,2.385291900919796,33.024644172041896
male,2,cat,2.9277336692209537,24.203518407002598
male,7,cat,2.574577647876959,34.0066540079897
female,2,dog,3.268815220326507,21.84596650530707
female,3,cat,2.0518025870871277,19.08943053157438
female,3,cat,2.425116357059276,20.383670384140792
female,5,dog,3.4257311627613345,27.328746898329214
female,8,dog,3.507327876969794,28.102419513771295
female,5,dog,2.9831695647564005,24.995751946566532
male,3,cat,2.6356153396553625,23.504152009713234
female,1,cat,2.3394308238017096,12.819871095927454
male,3,dog,3.8422016141535793,28.24004541376487
female,2,dog,3.409977897467383,15.091495182739084
female,5,cat,2.2148735509253195,12.344193873706534
male,6,cat,2.6921360787384407,30.528037314545905
female,3,cat,2.24805278107548,12.842009857432199
male,7,cat,2.4876858190762223,24.91763750067259
female,10,dog,3.198105812912266,34.21227591809486
female,6,dog,3.4219702988813707,25.19326295095369
male,11,dog,4.333284588384793,36.21474616949659
male,4,cat,2.682111625872119,18.13418467002516
female,4,cat,1.8270866913534587,19.4280928178367
female,6,dog,3.570604583911129,23.60245057012689
female,3,cat,2.1253844602778362,13.878428130612289
male,2,dog,3.891078024100792,26.907610737537492
female,4,dog,3.5489167981208944,16.801767247860816
female,5,dog,3.82325834881822,24.168704787408778
male,5,dog,3.8412409033608133,31.11774347816514
male,4,dog,3.9576156886869303,29.833606303760494
male,3,dog,3.8618135587402374,31.025819914094097
female,3,dog,3.9361361312985377,17.748162994610926
male,5,dog,3.7239890018973045,34.05624590037433
male,5,dog,3.7044733173915008,33.02860278198348
male,5,cat,2.895880612168774,26.234975033328723
male,7,dog,3.8887847076210957,33.80831918542615
male,3,dog,3.848578123778878,29.451631349366217
