id gender vitality type weight jump_length
1 male 4 cat 2.9 23.8
2 male 4 cat 3.1 27
3 male 5 dog 4.3 24.3
4 male 2 unkown 11.9 28.4
5 male 4 cat 2.9 23.2
6 male 2 dog 4.3 28.3
7 male 3 dog 3.5 27.1
8 male 2 dog 4.3 25.4
9 male 3 unkown 5 29.6
10 male 2 cat 2.6 22.9
11 fale 8 dog 4.4 37.3
12 male 5 dog 4 25.2
13 male 2 cat 2.4 23.6
14 male 5 dog 4.1 32.2
15 male 5 dog 4.1 30
16 male 1 dog 3.9 29.8
17 male 1 cat 3 23.6
18 male 7 dog 4.2 36.2
19 male 5 cat 2.9 25.1
20 male 5 cat 2.6 24.2
21 male 5 cat 2.6 26.7
22 male 5 dog 4.6 34.4
23 male 3 dog 3.9 34.3
24 female 5 cat 2.6 17.7
25 female 2 dog 3.3 13.2
26 male 5 dog 4.3 27.7
27 male 3 dog 4.4 31.8
28 male 1 cat 2.6 24.9
29 male 0 unkown 5.2 26.7
30 male 4 dog 4.4 28.4
31 male 2 cat 2.9 24.1
32 female 2 cat 1.8 10.2
33 male 2 unkown 5.1 31.1
34 male 4 dog 3.9 24.6
35 female 2 unkown 15.7 25.7
36 fale 4 cat 3 27.7
37 male 3 cat 2.7 27.6
38 male 4 dog 4.2 32.6
39 male 2 dog 4.3 28.1
40 male 3 dog 3.6 28.5
41 male 1 dog 4.2 25.5
42 male 4 unkown 5.6 36.2
43 male 2 cat 2.5 22.2
44 male 2 unkown 5.4 29.3
45 male 5 cat 2.8 28.2
46 male 4 dog 3.9 28.7
47 male 3 unkown 5.4 40.5
48 female 2 cat 2.4 3.7
49 male 1 dog 4.3 26.2
50 male 3 dog 3.8 28.6
51 female 0 cat 2.4 20
52 male 0 unkown 6 19.1
53 female 3 dog 3.6 20
54 male 2 cat 2.8 25.7
55 female 3 dog 3.4 20.6
56 female 4 cat 1.8 17.4
57 fale 2 cat 3.3 29.2
58 male 4 cat 2.9 28.8
59 male 5 dog 3.7 30.4
60 male 5 dog 4.2 22.5
61 male 4 cat 2.6 27.2
62 male 3 cat 11.1 23.2
63 fale 2 dog 5.2 31
64 fale 3 dog 5 35.8
65 male 4 dog 4 28.3
66 male 4 dog 4.2 28.8
67 male 0 dog 4.4 21.7
68 female 5 cat 2.5 19.7
69 male 5 dog 4.3 34.9
70 male 2 dog 3.7 25.5
71 male 6 cat 2.6 25
72 male 3 cat 2.7 23.7
73 male 3 dog 4.6 31.3
74 male 0 dog 4.5 29
75 male 3 dog 3.4 33.8
76 male 1 dog 4.4 25.3
77 male 5 cat 13.9 21.8
78 fale 4 dog 4.5 31.2
79 female 3 dog 9.8 20.5
80 male 2 cat 2.7 22.7
81 male 3 cat 2.5 27.5
82 male 2 dog 4 26.8
83 male 7 dog 4.1 34.7
84 male 4 cat 2.8 24.6
85 male 3 cat 3.2 27.1
86 male 2 cat 3.1 23
87 male 1 unkown 5.1 26.2
88 male 5 dog 3.5 28.4
89 male 3 dog 3.9 24.1
90 male 1 dog 4.2 24.2
91 male 3 dog 3.7 27.3
92 fale 4 dog 5.1 29.8
93 male 5 cat 2.7 29.2
94 male 3 cat 2.7 28.4
95 male 3 dog 4 22.7
96 male 3 unkown 5.4 29.1
97 fale 2 cat 3.8 25.6
98 male 2 dog 4.4 22.1
99 male 2 dog 3.6 27
100 fale 4 dog 4.9 34
101 male 3 cat 2.9 26.5
102 male 9 dog 3.5 42.8
103 male 1 unkown 5.5 27.3
104 male 0 dog 4.3 20.8
105 male 6 cat 2.1 32.8
106 male 3 dog 4.3 29.2
107 male 3 cat 2.9 28.5
108 male 3 cat 2.8 24.5
109 fale 1 dog 4.6 27.3
110 male 2 dog 3.9 26.7
111 male 3 dog 3.8 30.8
112 male 2 dog 3.6 25.8
